State,Votes cast - 2016,Electoral Votes - 2016,Votes cast - 2012,Electoral Votes - 2012,Votes cast - 2008,Electoral Votes - 2008
Alabama,2123372,9,2074338,,2099819,
Alaska,318608,3,300495,,326197,
Arizona,2573165,11,2299254,,2293475,
Arkansas,1130635,6,1069468,,1086617,
California,14181595,55,13038547,,13561900,
Colorado,2780247,9,2569518,,2401462,
Connecticut,1644920,7,1558960,,1646797,
Delaware,443814,3,413921,,412412,
District of Columbia,311268,3,293764,,265853,
Florida,9420039,29,8474179,,8390744,
Georgia,4114732,16,3900050,,3924486,
Hawaii,428937,4,434697,,453568,
Idaho,690255,4,652274,,655122,
Illinois,5536424,20,5242014,,5522371,
Indiana,2734958,11,2624534,,2751054,
Iowa,1566031,6,1582180,,1537123,
Kansas,1184402,6,1159971,,1235872,
Kentucky,1924149,8,1797212,,1826620,
Louisiana,2029032,8,1994065,,1960761,
Maryland,2781446,10,2707327,,2631596,
Massachusetts,3325046,11,3167767,,3080985,
Michigan,4799284,16,4730961,,5001766,
Minnesota,2944813,10,2936561,,2910369,
Mississippi,1209357,6,1285584,,1289865,
Missouri,2808605,10,2757323,,2925205,
Montana,497147,3,484048,,490302,
Nevada,1125385,6,1014918,,967848,
New Hampshire,744296,4,710972,,710970,
New Jersey,3874046,14,3640292,,3868237,
New Mexico,798319,5,783758,,830158,
New York,7721453,29,7081159,,7640931,
North Carolina,4741564,15,4505372,,4310789,
North Dakota,344360,3,322627,,316621,
Ohio,5496487,18,5580847,,5708350,
Oklahoma,1452992,7,1334872,,1462661,
Oregon,2001336,7,1789270,,1827864,
Pennsylvania,6165478,20,5753670,,6013272,
Rhode Island,464144,4,446049,,471766,
South Carolina,2103027,9,1964118,,1920969,
South Dakota,370093,3,363815,,381975,
Tennessee,2508027,11,2458577,,2599749,
Texas,8969226,38,7993851,,8077795,
Utah,1131430,6,1017440,,952370,
Vermont,315067,3,299290,,325046,
Virginia,3984361,13,3854489,,3723260,
Washington,3317019,12,3125516,,3036878,
West Virginia,714423,5,670438,,713451,
Wisconsin,2976150,10,3068434,,2983417,
Wyoming,255849,3,249061,,254658,
,,,,,,
Maine,747745,4,710645,,731163,
Maine 1,394329,1,374419,,383626,
Maine 2,353416,1,336226,,347537,
,,,,,,
Nebraska,844127,5,790662,,798444,
Nebraska 1,282338,1,264712,,273893,
Nebraska 2,291680,1,266727,,277809,
Nebraska 3,270109,1,259223,,246742,